n,trial,mean_diff,min_diff,max_diff
1,0,2.6886394023895264,2.34375,3.328125
1,1,2.6886394023895264,2.34375,3.328125
1,2,2.6886394023895264,2.34375,3.328125
1,3,2.6886394023895264,2.34375,3.328125
1,4,2.6886394023895264,2.34375,3.328125
2,0,1.7779947519302368,1.5,2.234375
2,1,1.7779947519302368,1.5,2.234375
2,2,1.7779947519302368,1.5,2.234375
2,3,1.7779947519302368,1.5,2.234375
2,4,1.7779947519302368,1.5,2.234375
6,0,0.5325520634651184,0.40625,1.0
6,1,0.5325520634651184,0.40625,1.0
6,2,0.5325520634651184,0.40625,1.0
6,3,0.5325520634651184,0.40625,1.0
6,4,0.5325520634651184,0.40625,1.0
11,0,0.345703125,0.2265625,0.5
11,1,0.345703125,0.2265625,0.5
11,2,0.345703125,0.2265625,0.5
11,3,0.345703125,0.2265625,0.5
11,4,0.345703125,0.2265625,0.5
51,0,0.2194010466337204,0.125,0.5
51,1,0.2194010466337204,0.125,0.5
51,2,0.2194010466337204,0.125,0.5
51,3,0.2194010466337204,0.125,0.5
51,4,0.2194010466337204,0.125,0.5
101,0,0.2470703125,0.125,0.5
101,1,0.2470703125,0.125,0.5
101,2,0.2470703125,0.125,0.5
101,3,0.2470703125,0.125,0.5
101,4,0.2470703125,0.125,0.5
201,0,0.2431640625,0.109375,0.5
201,1,0.2431640625,0.109375,0.5
201,2,0.2431640625,0.109375,0.5
201,3,0.2431640625,0.109375,0.5
201,4,0.2431640625,0.109375,0.5
501,0,0.30078125,0.125,1.0
501,1,0.30078125,0.125,1.0
501,2,0.30078125,0.125,1.0
501,3,0.30078125,0.125,1.0
501,4,0.30078125,0.125,1.0
