n,trial,mean_diff,min_diff,max_diff
1,0,1.20843505859375,0.7578125,4.6875
1,1,0.9293212890625,0.65625,1.3125
1,2,0.9141845703125,0.76171875,1.078125
1,3,1.10125732421875,0.60546875,3.5
1,4,1.4063720703125,1.0234375,4.5
2,0,0.88250732421875,0.68359375,1.5
2,1,0.7939453125,0.6328125,1.03125
2,2,0.983184814453125,0.546875,2.5625
2,3,1.08612060546875,0.71875,3.3125
2,4,0.97064208984375,0.734375,1.27734375
6,0,0.5716705322265625,0.40625,0.8046875
6,1,0.748748779296875,0.4453125,3.0
6,2,0.66748046875,0.53125,0.92578125
6,3,0.74267578125,0.4765625,0.91015625
6,4,1.144775390625,0.6796875,2.1875
11,0,0.62579345703125,0.484375,0.87890625
11,1,0.723297119140625,0.515625,1.1875
11,2,0.665740966796875,0.427734375,1.125
11,3,0.8209228515625,0.46875,2.8125
11,4,0.702392578125,0.53515625,0.859375
51,0,0.7156982421875,0.46875,2.4375
51,1,0.68084716796875,0.4375,0.875
51,2,0.78765869140625,0.5732421875,1.625
51,3,0.966644287109375,0.765625,2.375
51,4,0.764190673828125,0.5625,1.0625
101,0,0.58380126953125,0.4140625,1.6875
101,1,0.670562744140625,0.43359375,2.1875
101,2,0.697265625,0.49658203125,0.853515625
101,3,0.70037841796875,0.5625,0.841796875
101,4,0.740814208984375,0.4375,2.25
201,0,0.7227783203125,0.5390625,1.046875
201,1,0.65423583984375,0.4609375,0.96875
201,2,0.80120849609375,0.52734375,1.625
201,3,0.76287841796875,0.59765625,1.125
201,4,0.63623046875,0.40625,1.046875
501,0,0.867218017578125,0.625,1.375
501,1,0.8785400390625,0.552734375,1.5
501,2,0.718505859375,0.5546875,1.375
501,3,0.58270263671875,0.35546875,1.0
501,4,0.76690673828125,0.515625,1.125
1001,0,0.72064208984375,0.48828125,1.5
1001,1,0.391845703125,0.29296875,0.625
1001,2,0.985198974609375,0.802734375,1.21875
1001,3,0.6536865234375,0.4375,0.9375
1001,4,0.5673828125,0.3203125,2.375
2001,0,0.4708251953125,0.3515625,0.6328125
2001,1,0.886474609375,0.57421875,1.90625
2001,2,0.7760009765625,0.546875,1.671875
2001,3,0.73187255859375,0.40625,2.8125
2001,4,0.771484375,0.5625,1.4375
